Name,Surname,Class
Zenio,Rufbotp,1
Zenio,Jifyg,1
Pino,Lbriwjz,0
Zenio,Aejw,1
Pino,Kbhapx,0
Zenio,Lokvfxk,1
Pino,Dxrffnss,0
Pino,Qmtzf,0
Zenio,Sbvtavsog,1
Pino,Vukzsekl,0
Zenio,Qfjgvnhogh,1
Pino,Uhtmlhwm,0
Pino,Qmtzf,0
Pino,Hufojwka,0
Zenio,Convbdura,1
Pino,Efoisiqn,0
Zenio,Vugwc,1
Zenio,Ldcfli,1
Pino,Pjleizp,0
Pino,Saslegjff,0
Pino,Mtcz,0
Pino,Fvjq,0
Pino,Xakkhpg,0
Zenio,Sfsghfuvhg,1
Pino,Lbriwjz,0
Zenio,Sbvtavsog,1
Achille,Wjjsffyw,1
Zenio,Wjjsffyw,1
Zenio,Rcgebbe,1
Zenio,Nlivqtwhg,1
Pino,Gtinwlpqh,0
Pino,Nlivqtwhg,0
Zenio,Ppvz,1
Pino,Ydectcjq,0
Pino,Ywsfa,0
Zenio,Lbriwjz,1
Zenio,Zvsnell,1
Pino,Hpoazty,0
Pino,Ghgfdvq,0
Zenio,Kgjognt,1
Pino,Dxrffnss,0
Zenio,Ltsyg,1
Pino,Uywrjbrys,0
Zenio,Ufmlmbb,1
Pino,Convbdura,0
Zenio,Ghgfdvq,1
Pino,Zsqofinhfo,0
Pino,Kyywk,0
Zenio,Xwnstyyp,1
Zenio,Vfnpxvk,1
Pino,Vwjenc,0
Zenio,Niitbkfm,1
Zenio,Aejw,1
Pino,Qqbfya,0
Zenio,Iyhdi,1
Zenio,Ltsyg,1
Pino,Yestfnvya,0
Zenio,Riaqombgu,1
Zenio,Vukzsekl,1
Zenio,Vfjk,1
Zenio,Vfjk,1
Zenio,Qmqwhumwv,1
Pino,Ghgfdvq,0
Zenio,Qmqwhumwv,1
Zenio,Jifyg,1
Zenio,Nlivqtwhg,1
Pino,Ywsfa,0
Pino,Niitbkfm,0
Zenio,Xmcahws,1
Zenio,Yestfnvya,1
Zenio,Isocse,1
Zenio,Xmcahws,1
Pino,Gythphwpns,0
Zenio,Igmjuzcvrs,1
Zenio,Mdkper,1
Zenio,Kyywk,1
Zenio,Ydectcjq,1
Pino,Hufojwka,0
Pino,Hpoazty,0
Pino,Iyhdi,0
Zenio,Cchkje,1
Pino,Gtinwlpqh,0
Zenio,Vugwc,1
Pino,Bwopbycxf,0
Zenio,Lbriwjz,1
Zenio,Wjjsffyw,1
Pino,Xakkhpg,0
Pino,Vukzsekl,0
Pino,Kgjognt,0
Pino,Rcgebbe,0
Pino,Rufbotp,0
Zenio,Ydectcjq,1
Zenio,Ndhe,1
Zenio,Qhhxuethi,1
Pino,Xakkhpg,0
Pino,Dxrffnss,0
Pino,Ltuejr,0
Pino,Convbdura,0
Pino,Gythphwpns,0
Pino,Gythphwpns,0
Pino,Hxjozrzxtv,0
Pino,Okirkxpp,0
Zenio,Xwnstyyp,1
Zenio,Lelrfq,1
Zenio,Jifyg,1
Pino,Fyrwvx,0
Zenio,Vdjmoraq,1
Pino,Zepgjvfd,0
Zenio,Ldcfli,1
Zenio,Jtugksu,1
Zenio,Rufbotp,1
Zenio,Oxbxwi,1
Pino,Iejmzarrt,0
Pino,Dwxaqvt,0
Zenio,Pjleizp,1
Pino,Ikgqq,0
Zenio,Ppvz,1
Pino,Agliz,0
Pino,Vfnpxvk,0
Zenio,Cfad,1
Pino,Kgjognt,0
Pino,Jtugksu,0
Zenio,Vfnpxvk,1
Pino,Efiqxjtlnp,0
Zenio,Rdsinw,1
Zenio,Zvsnell,1
Zenio,Hpoazty,1
Pino,Mlixavoqwf,0
Pino,Cchkje,0
Pino,Pbotgki,0
Zenio,Sziexlhq,1
Pino,Iyhdi,0
Pino,Idhq,0
Zenio,Ppvz,1
Pino,Ydornhet,0
Pino,Ydectcjq,0
Zenio,Fvjq,1
Pino,Vfnpxvk,0
Zenio,Ghgfdvq,1
Zenio,Ydectcjq,1
Zenio,Okirkxpp,1
Zenio,Beaeeqdp,1
Zenio,Jolha,1
Zenio,Gtinwlpqh,1
Zenio,Uhtmlhwm,1
Zenio,Cchkje,1
Zenio,Zepgjvfd,1
Zenio,Vugwc,1
Zenio,Vukzsekl,1
Zenio,Bwopbycxf,1
Pino,Ghgfdvq,0
Zenio,Mpcknnj,1
Pino,Idhq,0
Zenio,Dwxaqvt,1
Zenio,Vdjmoraq,1
Zenio,Igmjuzcvrs,1
Zenio,Yestfnvya,1
Pino,Idhq,0
Zenio,Ufmlmbb,1
Pino,Rufbotp,0
Pino,Vqdbemxism,0
Pino,Mdkper,0
Pino,Sfsghfuvhg,0
