Name,Surname,HasA,HasB,Class
Pino,Dwdu,1,1,1
Pino,Damcjiimhq,0,0,1
Carlo,Mozvvij,0,0,0
Gianni,Zuehhmwklp,1,0,0
Pino,Pbpisqeoj,1,0,1
Gianni,Tzlwkxr,1,0,0
Carlo,Phkzvdgll,0,0,0
Gianni,Jbaw,1,0,0
Carlo,Gavrsnzj,0,1,0
Carlo,Mhvgva,0,1,0
Carlo,Mhvmu,0,0,0
Pino,Obafnhsb,1,1,1
Carlo,Jyljupk,1,0,0
Gianni,Dqusjq,0,1,0
Gianni,Obsgvlpi,1,0,0
Gianni,Rnqdcg,1,1,0
Carlo,Qwcu,1,1,0
Carlo,Zxwmxdhtp,1,1,0
Carlo,Ekqwfng,1,1,0
Carlo,Kdfdvva,1,1,0
Pino,Zmzrjuqn,0,0,1
Pino,Qxsi,1,1,1
Carlo,Rcnhn,0,1,0
Gianni,Nzxrf,1,0,0
Gianni,Rckxsq,0,1,0
Pino,Rpxqbje,0,0,1
Pino,Jhygosgplz,0,0,1
Gianni,Vdfopx,0,0,0
Pino,Zncj,1,1,1
Pino,Wdbbai,0,0,1
Carlo,Svpfnatq,0,1,0
Gianni,Nuvpw,1,1,0
Carlo,Epbt,0,1,0
Gianni,Srsvhhai,1,0,0
Carlo,Yfdpdvyp,1,1,0
Gianni,Gpjgyuurr,1,1,0
Gianni,Akdg,0,1,0
Gianni,Ceaxgbw,1,0,0
Pino,Hyyctelmo,0,0,1
Pino,Fdif,0,0,1
Gianni,Rttqfbzf,1,1,0
Carlo,Narogrijxe,1,0,0
Gianni,Tbrflsddf,0,0,0
Pino,Awcm,1,1,1
Pino,Zovy,1,0,1
Carlo,Sjrlfqrmyh,1,1,0
Pino,Ranmxhyfli,0,0,1
Carlo,Eendf,1,1,0
Gianni,Jvhhywwspr,0,1,0
Pino,Afcqmp,0,0,1
Carlo,Qzfzwf,1,1,0
Carlo,Yavvtmdao,1,0,0
Pino,Udpe,1,0,1
Pino,Jsizyye,1,1,1
Pino,Eyqxoibyc,1,0,1
Gianni,Tmnfd,0,0,0
Carlo,Gcasoocps,1,1,0
Pino,Asmo,1,1,1
Pino,Ygoxjba,1,0,1
Gianni,Hnulox,1,1,0
Pino,Sddweugoi,0,1,1
Pino,Oosjglvn,1,0,1
Gianni,Smxth,1,0,0
Carlo,Ftiwxps,0,0,0
Pino,Uknc,1,0,1
Gianni,Yhmq,1,1,0
Gianni,Dbxme,0,0,0
Gianni,Sbieewqs,1,1,0
Carlo,Zerz,1,0,0
Gianni,Nvixhwegbm,0,0,0
Pino,Hynuega,1,0,1
Pino,Lcnqqinzd,1,1,1
Pino,Flirrleeu,1,1,1
Gianni,Huqgxa,0,0,0
Gianni,Ndml,1,0,0
Carlo,Kjlocmt,0,0,0
Pino,Hujpr,1,1,1
Pino,Muouvjwo,1,1,1
Carlo,Ymglgb,0,1,0
Pino,Govro,0,0,1
Gianni,Jovqfwoyjq,1,0,0
Carlo,Aevtbvjo,0,1,0
Pino,Ohxvguhvk,0,1,1
Carlo,Vukg,1,1,0
Pino,Rjimriiv,1,0,1
Gianni,Hrtnemxz,1,0,0
Pino,Eufjg,0,0,1
Gianni,Itheer,0,1,0
Carlo,Qmyyec,0,1,0
Pino,Fhafjhymd,0,0,1
Pino,Pvoukfr,1,1,1
Pino,Pnydbtxj,0,0,1
Carlo,Ybimxc,1,1,0
Pino,Dpzikfmaxg,1,1,1
Pino,Ybtxjj,0,0,1
Carlo,Zmxaqas,0,1,0
Pino,Hvij,0,1,1
Gianni,Adcujqv,1,1,0
Gianni,Mokhjopa,1,1,0
Gianni,Mtjlzrm,0,0,0
Pino,Qjovzpcyod,1,0,1
Pino,Dqui,1,0,1
Pino,Sxbq,1,0,1
Carlo,Ddzvszyxrq,1,1,0
Pino,Abrql,0,1,1
Gianni,Omormqyk,1,1,0
Carlo,Zvlacar,1,0,0
Gianni,Luagqu,1,0,0
Gianni,Rrbbvxmvu,0,1,0
Gianni,Bfyvb,0,0,0
Pino,Pgiwwdc,0,0,1
Gianni,Rfkejtfk,0,0,0
Carlo,Fyerx,0,0,0
Gianni,Spbsttgybb,0,0,0
Pino,Afcsbszzvl,1,0,1
Carlo,Pkvgbus,0,1,0
Pino,Yyiqnddb,1,1,1
Gianni,Oorw,0,0,0
Gianni,Mpmfx,1,1,0
Carlo,Vqbuhapf,0,1,0
Gianni,Mrgbb,1,1,0
Pino,Ptbdffup,1,0,1
Gianni,Qvymeekx,0,1,0
Pino,Jtnhpgd,0,1,1
Carlo,Dezaw,0,1,0
Pino,Gcqyp,0,0,1
Carlo,Crnoeedje,0,0,0
Gianni,Kenejl,1,1,0
Gianni,Tmbalf,0,0,0
Pino,Mqplkbovsj,1,1,1
Pino,Jkysnflxjk,1,0,1
Carlo,Wyunvk,0,0,0
Pino,Jqpkws,0,1,1
Pino,Tdyecafm,1,0,1
Carlo,Vdrlyqsjx,0,0,0
Carlo,Ydyev,0,0,0
Pino,Bmud,0,1,1
Carlo,Plwdsofbrv,1,0,0
Gianni,Edwtszbq,1,1,0
Carlo,Itheer,0,1,0
Gianni,Nnaivjtrcd,0,0,0
Pino,Btqfnyzqfz,0,1,1
Gianni,Naufr,1,0,0
Pino,Lquen,0,1,1
Pino,Umhyk,0,1,1
Pino,Xhtovhy,0,0,1
Pino,Khrom,0,0,1
Carlo,Gdxajihxnq,1,0,0
Carlo,Exqlpew,1,1,0
Carlo,Fymgonruil,1,0,0
Gianni,Knlcl,1,1,0
Gianni,Jwprazyw,1,0,0
Carlo,Ocxwxs,1,1,0
Gianni,Zzrwkqlh,1,1,0
Gianni,Qfzv,1,1,0
Carlo,Ygli,0,1,0
Gianni,Jxgs,1,1,0
Gianni,Npfasr,0,0,0
Carlo,Ncpeiqsv,0,1,0
Gianni,Inww,0,1,0
Carlo,Actuif,0,0,0
Carlo,Crxn,1,0,0
Gianni,Qzjbvybi,1,0,0
Gianni,Scjep,0,1,0
Gianni,Lftlmwn,0,1,0
Gianni,Xjpfa,1,0,0
Carlo,Bwxqryikif,0,1,0
Gianni,Mjbic,1,1,0
Carlo,Gzaz,0,1,0
Gianni,Yfmthkg,1,0,0
Gianni,Syiixgml,1,1,0
Gianni,Qttgfpwsn,1,1,0
Gianni,Bkhfoovyc,1,0,0
Carlo,Rnenucz,0,1,0
Carlo,Zjzbajhqfg,0,1,0
Carlo,Vkbob,0,0,0
Pino,Jxbwnu,0,0,1
