Name,Surname,HasA,HasB,Class
Zenio,Dcoxq,0,0,1
Zenio,Noqb,0,0,1
Gianni,Knut,0,0,0
Gianni,Jyessaxo,0,0,0
Gianni,Orwvuv,0,0,0
Zenio,Twuimn,0,0,1
Gianni,Cxjli,0,0,0
Pino,Elaqefao,0,0,1
Pino,Vetrtqd,0,0,1
Zenio,Ewehfhb,0,0,1
Pino,Oqjgnbyq,0,0,1
Carlo,Zlnc,0,0,0
Pino,Fbom,0,0,1
Pino,Eivfacflnd,0,0,1
Carlo,Prbavuo,0,0,0
Pino,Etsy,0,0,1
Zenio,Zdyoottpnl,0,0,1
Zenio,Ryiadjkty,0,0,1
Gianni,Xazpslwyxr,0,0,0
Pino,Umgr,0,0,1
Gianni,Icyadxzl,0,0,0
Pino,Dgpzjxiu,0,0,1
Zenio,Bzqaltz,0,0,1
Carlo,Cfjzwaa,0,0,0
Carlo,Rdlc,0,0,0
Gianni,Vwjkksk,0,0,0
Carlo,Hscbaopwou,0,0,0
Pino,Kumbk,0,0,1
Gianni,Bzxpcgaoz,0,0,0
Carlo,Bnimdu,0,0,0
Gianni,Hfezc,0,0,0
Carlo,Lkpdjkcdp,0,0,0
Carlo,Tcmtmnbtau,0,0,0
Gianni,Iwvdpzoa,0,0,0
Zenio,Glzscmljjk,0,0,1
Pino,Tfblfiwfe,0,0,1
Pino,Wsfi,0,0,1
Gianni,Kvmt,0,0,0
Pino,Vzrvyh,0,0,1
Zenio,Jxbvocrwky,0,0,1
Pino,Dchaa,0,0,1
Gianni,Wrgk,0,0,0
Zenio,Fzwpqccz,0,0,1
Pino,Ebsuopu,0,0,1
Zenio,Drhm,0,0,1
Carlo,Mfgg,0,0,0
Pino,Zsse,0,0,1
Zenio,Rrvpz,0,0,1
Carlo,Noidkvmh,0,0,0
Carlo,Cncuoa,0,0,0
Carlo,Wyywggoa,0,0,0
Gianni,Vkzvxrfmfj,0,0,0
Zenio,Dnidb,0,0,1
Pino,Deuymhlwc,0,0,1
Pino,Zgacilm,0,0,1
Zenio,Ujopzk,0,0,1
Gianni,Xmddpdrsw,0,0,0
Carlo,Iizoeyishp,0,0,0
Carlo,Mgywzhvbnu,0,0,0
Pino,Tvqwizrpi,0,0,1
Gianni,Xmvx,0,0,0
Zenio,Plkmlpd,0,0,1
Zenio,Xvomxtwlum,0,0,1
Gianni,Xjpbvycx,0,0,0
Carlo,Sxtpa,0,0,0
Zenio,Mcrwow,0,0,1
Carlo,Vrcrymj,0,0,0
Carlo,Xbcb,0,0,0
Carlo,Hlmgwaeccu,0,0,0
Carlo,Makgf,0,0,0
Zenio,Rsgxbdh,0,0,1
Carlo,Xcntb,0,0,0
Carlo,Abto,0,0,0
Zenio,Fovyijqwo,0,0,1
Zenio,Uphchqmrim,0,0,1
Zenio,Zixlrj,0,0,1
Carlo,Bczhtkt,0,0,0
Carlo,Pepbcjbdwb,0,0,0
Zenio,Lefdcuuu,0,0,1
Pino,Mxkjlugi,0,0,1
Carlo,Tnoo,0,0,0
Carlo,Geyivob,0,0,0
Zenio,Ibyzh,0,0,1
Zenio,Hargwusb,0,0,1
Carlo,Zkwjegk,0,0,0
Gianni,Rjtzrkkbpb,0,0,0
Gianni,Trmpmblk,0,0,0
Zenio,Ezdhxwduy,0,0,1
Carlo,Vxswh,0,0,0
Carlo,Hvaetdrh,0,0,0
Pino,Bwueasz,0,0,1
Zenio,Iqon,0,0,1
Gianni,Dkmpl,0,0,0
Carlo,Dpawfly,0,0,0
Carlo,Rgihtdmzgc,0,0,0
Carlo,Gwcgh,0,0,0
Gianni,Lbbhcqatbe,0,0,0
Gianni,Hmps,0,0,0
Gianni,Bnjag,0,0,0
Pino,Izvrwt,0,0,1
Carlo,Xlxajo,0,0,0
Gianni,Eoklioq,0,0,0
Gianni,Atvj,0,0,0
Zenio,Tzptgbwo,0,0,1
Zenio,Dotkvqzh,0,0,1
Zenio,Grnqhwwtxx,0,0,1
Zenio,Tvkhxbq,0,0,1
Zenio,Dzqbbsfe,0,0,1
Pino,Vytuha,0,0,1
Gianni,Fmazrncxt,0,0,0
Carlo,Jaegw,0,0,0
Gianni,Wemctxflo,0,0,0
Carlo,Ilbch,0,0,0
Pino,Ebgkliz,0,0,1
Pino,Pvni,0,0,1
Zenio,Dkkgxbxg,0,0,1
Carlo,Bgzlo,0,0,0
Carlo,Cnjedzud,0,0,0
Carlo,Qpvwwdgchm,0,0,0
Gianni,Oiasvtfgrf,0,0,0
Carlo,Bgbgczqmdt,0,0,0
Gianni,Kcirxgk,0,0,0
Zenio,Gzzhuivvs,0,0,1
Carlo,Rjjeg,0,0,0
Carlo,Xnljkkok,0,0,0
Pino,Ufty,0,0,1
Carlo,Swmylmnezy,0,0,0
Zenio,Rrag,0,0,1
Pino,Cpdykrpwn,0,0,1
Pino,Smrfpicyo,0,0,1
Gianni,Tumv,0,0,0
Zenio,Ijvpmew,0,0,1
Zenio,Nmilqqnvf,0,0,1
Zenio,Zmxquvmx,0,0,1
Gianni,Rwcwejxml,0,0,0
Carlo,Bgpahou,0,0,0
Gianni,Yxniasvpta,0,0,0
Pino,Bxilogcw,0,0,1
Zenio,Sfwa,0,0,1
Zenio,Iopock,0,0,1
Zenio,Gsixwq,0,0,1
Pino,Opyade,0,0,1
Gianni,Pbst,0,0,0
Pino,Aetdr,0,0,1
Carlo,Wpmolwonhf,0,0,0
Zenio,Ppyq,0,0,1
Carlo,Yoxjuqa,0,0,0
Gianni,Nouqkrwms,0,0,0
Pino,Xbto,0,0,1
Zenio,Csmjgbg,0,0,1
Zenio,Csybpv,0,0,1
Zenio,Qgbdku,0,0,1
Carlo,Fzch,0,0,0
Pino,Tvefayo,0,0,1
Zenio,Moxjbbcdnv,0,0,1
Gianni,Ktfghcxtdp,0,0,0
Pino,Bsnzcej,0,0,1
Carlo,Yiftotbp,0,0,0
Carlo,Xllvgcuhf,0,0,0
Pino,Zjmu,0,0,1
Gianni,Wjopqf,0,0,0
Carlo,Xcsvy,0,0,0
Carlo,Vcflfh,0,0,0
Pino,Ayoh,0,0,1
Zenio,Vsrrdc,0,0,1
Zenio,Suezkbah,0,0,1
Gianni,Csdijs,0,0,0
Gianni,Tuvfmyvq,0,0,0
Pino,Ibom,0,0,1
Zenio,Wtebvjsgy,0,0,1
Carlo,Zclgdnfln,0,0,0
Pino,Svblshp,0,0,1
Gianni,Lmzpeyvao,0,0,0
Zenio,Hmyqopcdd,0,0,1
Gianni,Arzk,0,0,0
Zenio,Rpba,0,0,1
Pino,Ptwrf,0,0,1
Zenio,Fxbeu,0,0,1
Gianni,Qykpubkrgv,0,0,0
Zenio,Llggciyqb,0,0,1
Pino,Gfopg,0,0,1
Zenio,Jqse,0,0,1
Carlo,Tspdvrcqqv,0,0,0
Pino,Rocmzuoor,0,0,1
Gianni,Zaeam,0,0,0
Zenio,Virbgg,0,0,1
Carlo,Otichy,0,0,0
Carlo,Rligl,0,0,0
Gianni,Qakgldol,0,0,0
Carlo,Ztmxmkz,0,0,0
Carlo,Okgjs,0,0,0
Carlo,Xqmwhtesqt,0,0,0
Pino,Hupncdrdni,0,0,1
Carlo,Bgtanx,0,0,0
Carlo,Mqysmywla,0,0,0
Zenio,Jsepzwjx,0,0,1
Carlo,Dzhsc,0,0,0
Zenio,Oslq,0,0,1
Carlo,Gqxpwfcu,0,0,0
Carlo,Kwretvwf,0,0,0
Pino,Hhcufzttte,0,0,1
Zenio,Wndvfac,0,0,1
Zenio,Vqhikhxv,0,0,1
Pino,Etoh,0,0,1
Zenio,Yuiubr,0,0,1
Gianni,Iwvwevn,0,0,0
Gianni,Ntzzo,0,0,0
Pino,Kiphoqberu,0,0,1
Gianni,Mkmpjro,0,0,0
Pino,Cgoogqs,0,0,1
Pino,Rkxj,0,0,1
Zenio,Kocdzuugio,0,0,1
Carlo,Anxmysuuw,0,0,0
Carlo,Mxpamieqx,0,0,0
Pino,Ocgy,0,0,1
Zenio,Ajgc,0,0,1
Zenio,Lpdllh,0,0,1
Pino,Qyfcchvkg,0,0,1
Carlo,Gfpubwq,0,0,0
Zenio,Yaxzftc,0,0,1
Gianni,Xshumhkilu,0,0,0
Carlo,Crguctdbkd,0,0,0
Carlo,Rvngyq,0,0,0
Gianni,Hdkflcqr,0,0,0
Gianni,Oboyar,0,0,0
Gianni,Kddxpfv,0,0,0
Gianni,Vrdxbrbm,0,0,0
Gianni,Wivc,0,0,0
Zenio,Sczfz,0,0,1
Pino,Yqxpyymxk,0,0,1
Zenio,Okthqmc,0,0,1
Pino,Zbjqt,0,0,1
Zenio,Arfmp,0,0,1
Pino,Ilrdx,0,0,1
Carlo,Jjixm,0,0,0
Zenio,Dptgi,0,0,1
Pino,Rzaemuqc,0,0,1
Pino,Ylqxeb,0,0,1
Zenio,Hvsjiyvsn,0,0,1
Gianni,Texuqfpoc,0,0,0
Zenio,Ylrkohslez,0,0,1
