Name,Surname,Class
Zenio,Ivunbfuhwm,1
Zenio,Uqux,1
Zenio,Unvu,1
Zenio,Thmssjzxwo,1
Zenio,Oqhjkc,1
Pino,Avhbbbwngi,0
Pino,Vngmk,0
Zenio,Ieekeewg,1
Zenio,Uhmjqllbkn,1
Zenio,Dbosq,1
Zenio,Tgjyqtsbxl,1
Pino,Leyvi,0
Zenio,Mwgxrfhvk,1
Zenio,Khogn,1
Zenio,Sfukoofjby,1
Zenio,Izgcsghl,1
Pino,Lkqkzvjp,0
Zenio,Zcfllaog,1
Pino,Ewjuqolbl,0
Pino,Cojrxgxue,0
Zenio,Wioet,1
Pino,Hexb,0
Zenio,Jxpms,1
Pino,Oxwgu,0
Pino,Xwyx,0
Zenio,Laolmn,1
Pino,Mfmpng,0
Zenio,Fempcigrb,1
Pino,Fvez,0
Zenio,Bpiakz,1
Zenio,Arzjeqwdl,1
Pino,Yvtjewn,0
Zenio,Owfxsyjdwl,1
Zenio,Wmxl,1
Zenio,Ezgkz,1
Pino,Huqbo,0
Pino,Lucok,0
Pino,Nkdyucmrge,0
Zenio,Npvh,1
Pino,Eikbyx,0
Pino,Paoqf,0
Zenio,Grmhuhgndr,1
Pino,Xchhxu,0
Pino,Vfldenpp,0
Pino,Kallujnu,0
Zenio,Yvodf,1
Pino,Yqntohuew,0
Zenio,Jbunaw,1
Pino,Mgpcjk,0
Pino,Cthdush,0
Zenio,Fcjhg,1
Pino,Ksrakltl,0
Zenio,Gpjmxa,1
Pino,Ekcexa,0
Pino,Flnfp,0
Pino,Qyeztpdfx,0
Pino,Jxjjwloe,0
Zenio,Yauduido,1
Zenio,Svbh,1
Pino,Kotxdqjy,0
Zenio,Ftmmxpm,1
Pino,Evwoci,0
Zenio,Rdmrtbzgvx,1
Pino,Hddiadzlo,0
Zenio,Snreef,1
Zenio,Pzdvgwf,1
Zenio,Yqtccch,1
Pino,Yehxnntts,0
Pino,Ubdylwuoyx,0
Zenio,Xgavyydpk,1
Zenio,Ymmy,1
Pino,Hqzxnwdsd,0
Pino,Ydvtpxak,0
Pino,Uxkdlwsf,0
Pino,Rmvafa,0
Pino,Rkuegmccu,0
Pino,Kqkc,0
Pino,Rrqp,0
Zenio,Okogfn,1
Pino,Yqtbycmkgj,0
